date_start,station,count_date_station
2017-11-11,CNN,238
2017-11-11,Fox Business,21
2017-11-11,Fox News,196
2017-11-11,MSNBC,303
2017-11-12,Bloomberg,7
2017-11-12,CNBC,0
2017-11-12,CNN,115
2017-11-12,Fox Business,0
2017-11-12,Fox News,52
2017-11-12,MSNBC,216
2017-11-13,Bloomberg,19
2017-11-13,CNBC,16
2017-11-13,CNN,207
2017-11-13,Fox Business,44
2017-11-13,Fox News,97
2017-11-13,MSNBC,231
2017-11-14,Bloomberg,37
2017-11-14,CNBC,8
2017-11-14,CNN,234
2017-11-14,Fox Business,76
2017-11-14,Fox News,97
2017-11-14,MSNBC,363
2017-11-15,Bloomberg,13
2017-11-15,CNBC,2
2017-11-15,CNN,390
2017-11-15,Fox Business,74
2017-11-15,Fox News,180
2017-11-15,MSNBC,402
2017-11-16,Bloomberg,14
2017-11-16,CNBC,1
2017-11-16,CNN,368
2017-11-16,Fox Business,108
2017-11-16,Fox News,262
2017-11-16,MSNBC,586
2017-11-17,Bloomberg,13
2017-11-17,CNBC,0
2017-11-17,CNN,375
2017-11-17,Fox Business,116
2017-11-17,Fox News,278
2017-11-17,MSNBC,408
2017-11-18,Bloomberg,9
2017-11-18,CNBC,0
2017-11-18,CNN,380
2017-11-18,Fox Business,64
2017-11-18,Fox News,304
2017-11-18,MSNBC,385
2017-11-19,Bloomberg,4
2017-11-19,CNBC,0
2017-11-19,CNN,188
2017-11-19,Fox Business,2
2017-11-19,Fox News,143
2017-11-19,MSNBC,375
2017-11-20,Bloomberg,12
2017-11-20,CNBC,5
2017-11-20,CNN,200
2017-11-20,Fox Business,57
2017-11-20,Fox News,226
2017-11-20,MSNBC,327
2017-11-21,Bloomberg,30
2017-11-21,CNBC,17
2017-11-21,CNN,435
2017-11-21,Fox Business,121
2017-11-21,Fox News,258
2017-11-21,MSNBC,514
2017-11-22,Bloomberg,13
2017-11-22,CNBC,0
2017-11-22,CNN,583
2017-11-22,Fox Business,110
2017-11-22,Fox News,291
2017-11-22,MSNBC,470
2017-11-23,Bloomberg,1
2017-11-23,CNBC,0
2017-11-23,CNN,110
2017-11-23,Fox Business,33
2017-11-23,Fox News,155
2017-11-23,MSNBC,264
2017-11-24,Bloomberg,0
2017-11-24,CNBC,3
2017-11-24,CNN,106
2017-11-24,Fox Business,48
2017-11-24,Fox News,67
2017-11-24,MSNBC,109
2017-11-25,Bloomberg,1
2017-11-25,CNBC,0
2017-11-25,CNN,69
2017-11-25,Fox Business,44
2017-11-25,Fox News,72
2017-11-25,MSNBC,131
2017-11-26,Bloomberg,1
2017-11-26,CNBC,0
2017-11-26,CNN,95
2017-11-26,Fox Business,3
2017-11-26,Fox News,143
2017-11-26,MSNBC,159
2017-11-27,Bloomberg,11
2017-11-27,CNBC,5
2017-11-27,CNN,277
2017-11-27,Fox Business,132
2017-11-27,Fox News,249
2017-11-27,MSNBC,285
2017-11-28,Bloomberg,0
2017-11-28,CNBC,0
2017-11-28,CNN,83
2017-11-28,Fox Business,70
2017-11-28,Fox News,116
2017-11-28,MSNBC,196
2017-11-29,Bloomberg,13
2017-11-29,CNBC,32
2017-11-29,CNN,124
2017-11-29,Fox Business,133
2017-11-29,Fox News,133
2017-11-29,MSNBC,226
2017-11-30,Bloomberg,16
2017-11-30,CNBC,12
2017-11-30,CNN,195
2017-11-30,Fox Business,187
2017-11-30,Fox News,293
2017-11-30,MSNBC,182
2017-12-01,Bloomberg,7
2017-12-01,CNBC,0
2017-12-01,CNN,67
2017-12-01,Fox Business,87
2017-12-01,Fox News,89
2017-12-01,MSNBC,43
2017-12-02,Bloomberg,8
2017-12-02,CNBC,0
2017-12-02,CNN,12
2017-12-02,Fox Business,17
2017-12-02,Fox News,60
2017-12-02,MSNBC,58
2017-12-03,Bloomberg,4
2017-12-03,CNBC,0
2017-12-03,CNN,38
2017-12-03,Fox Business,15
2017-12-03,Fox News,67
2017-12-03,MSNBC,49
2017-12-04,Bloomberg,10
2017-12-04,CNBC,3
2017-12-04,CNN,108
2017-12-04,Fox Business,49
2017-12-04,Fox News,67
2017-12-04,MSNBC,93
2017-12-05,Bloomberg,10
2017-12-05,CNBC,16
2017-12-05,CNN,243
2017-12-05,Fox Business,87
2017-12-05,Fox News,127
2017-12-05,MSNBC,317
2017-12-06,Bloomberg,8
2017-12-06,CNBC,21
2017-12-06,CNN,317
2017-12-06,Fox Business,114
2017-12-06,Fox News,182
2017-12-06,MSNBC,254
2017-12-07,Bloomberg,26
2017-12-07,CNBC,11
2017-12-07,CNN,233
2017-12-07,Fox Business,171
2017-12-07,Fox News,214
2017-12-07,MSNBC,351
