date,name,count_show_mentions_person_date,max,max_name
2017-11-08T00:00:00Z,charlie rose,0,NA,
2017-11-08T00:00:00Z,dustin hoffman,0,NA,
2017-11-08T00:00:00Z,gary goddard,0,NA,
2017-11-08T00:00:00Z,glenn thrush,0,NA,
2017-11-08T00:00:00Z,harvey weinstein,4,NA,
2017-11-08T00:00:00Z,jeffrey tambor,0,NA,
2017-11-08T00:00:00Z,jeremy piven,0,NA,
2017-11-08T00:00:00Z,kevin spacey,7,NA,
2017-11-08T00:00:00Z,louis ck,1,NA,
2017-11-08T00:00:00Z,mark halperin,0,NA,
2017-11-08T00:00:00Z,richard dreyfuss,0,NA,
2017-11-08T00:00:00Z,roy moore,5,NA,
2017-11-08T00:00:00Z,trent franks,1,NA,
2017-11-09T00:00:00Z,al franken,0,NA,
2017-11-09T00:00:00Z,brett ratner,0,NA,
2017-11-09T00:00:00Z,charlie rose,0,NA,
2017-11-09T00:00:00Z,dustin hoffman,0,NA,
2017-11-09T00:00:00Z,gary goddard,0,NA,
2017-11-09T00:00:00Z,glenn thrush,0,NA,
2017-11-09T00:00:00Z,harvey weinstein,11,NA,
2017-11-09T00:00:00Z,jeffrey tambor,0,NA,
2017-11-09T00:00:00Z,jeremy piven,0,NA,
2017-11-09T00:00:00Z,kevin spacey,14,14,Kevin Spacey
2017-11-09T00:00:00Z,louis ck,2,NA,
2017-11-09T00:00:00Z,mark halperin,0,NA,
2017-11-09T00:00:00Z,richard dreyfuss,0,NA,
2017-11-09T00:00:00Z,roy moore,13,NA,
2017-11-09T00:00:00Z,trent franks,0,NA,
2017-11-10T00:00:00Z,al franken,0,NA,
2017-11-10T00:00:00Z,brett ratner,0,NA,
2017-11-10T00:00:00Z,charlie rose,1,NA,
2017-11-10T00:00:00Z,dustin hoffman,2,NA,
2017-11-10T00:00:00Z,gary goddard,0,NA,
2017-11-10T00:00:00Z,glenn thrush,1,NA,
2017-11-10T00:00:00Z,harvey weinstein,22,NA,
2017-11-10T00:00:00Z,jeffrey tambor,2,2,Jeffrey Tambor
2017-11-10T00:00:00Z,jeremy piven,0,NA,
2017-11-10T00:00:00Z,kevin spacey,13,NA,
2017-11-10T00:00:00Z,louis ck,9,9,Louis CK
2017-11-10T00:00:00Z,mark halperin,3,NA,
2017-11-10T00:00:00Z,richard dreyfuss,0,NA,
2017-11-10T00:00:00Z,roy moore,60,NA,
2017-11-10T00:00:00Z,trent franks,0,NA,
2017-11-11T00:00:00Z,al franken,0,NA,
2017-11-11T00:00:00Z,brett ratner,1,NA,
2017-11-11T00:00:00Z,charlie rose,0,NA,
2017-11-11T00:00:00Z,dustin hoffman,3,3,Dustin Hoffman
2017-11-11T00:00:00Z,gary goddard,1,1,Gary Goddard
2017-11-11T00:00:00Z,glenn thrush,0,NA,
2017-11-11T00:00:00Z,harvey weinstein,24,NA,
2017-11-11T00:00:00Z,jeffrey tambor,0,NA,
2017-11-11T00:00:00Z,jeremy piven,3,3,Jeremy Piven
2017-11-11T00:00:00Z,kevin spacey,10,NA,
2017-11-11T00:00:00Z,louis ck,8,NA,
2017-11-11T00:00:00Z,mark halperin,3,NA,
2017-11-11T00:00:00Z,richard dreyfuss,0,NA,
2017-11-11T00:00:00Z,roy moore,53,NA,
2017-11-11T00:00:00Z,trent franks,0,NA,
2017-11-12T00:00:00Z,al franken,0,NA,
2017-11-12T00:00:00Z,dustin hoffman,0,NA,
2017-11-12T00:00:00Z,gary goddard,1,NA,
2017-11-12T00:00:00Z,george takei,2,2,George Takei
2017-11-12T00:00:00Z,harvey weinstein,8,NA,
2017-11-12T00:00:00Z,jeffrey tambor,0,NA,
2017-11-12T00:00:00Z,jeremy piven,1,NA,
2017-11-12T00:00:00Z,john conyers,0,NA,
2017-11-12T00:00:00Z,kevin spacey,5,NA,
2017-11-12T00:00:00Z,louis ck,1,NA,
2017-11-12T00:00:00Z,mark halperin,0,NA,
2017-11-12T00:00:00Z,matt lauer,0,NA,
2017-11-12T00:00:00Z,matthew weiner,0,NA,
2017-11-12T00:00:00Z,richard dreyfuss,1,NA,
2017-11-12T00:00:00Z,roy moore,36,NA,
2017-11-12T00:00:00Z,trent franks,0,NA,
2017-11-13T00:00:00Z,al franken,0,NA,
2017-11-13T00:00:00Z,dustin hoffman,0,NA,
2017-11-13T00:00:00Z,gary goddard,0,NA,
2017-11-13T00:00:00Z,george takei,0,NA,
2017-11-13T00:00:00Z,harvey weinstein,8,NA,
2017-11-13T00:00:00Z,jeffrey tambor,0,NA,
2017-11-13T00:00:00Z,jeremy piven,0,NA,
2017-11-13T00:00:00Z,john conyers,0,NA,
2017-11-13T00:00:00Z,kevin spacey,1,NA,
2017-11-13T00:00:00Z,louis ck,0,NA,
2017-11-13T00:00:00Z,mark halperin,0,NA,
2017-11-13T00:00:00Z,matt lauer,0,NA,
2017-11-13T00:00:00Z,matthew weiner,0,NA,
2017-11-13T00:00:00Z,richard dreyfuss,0,NA,
2017-11-13T00:00:00Z,roy moore,42,NA,
2017-11-13T00:00:00Z,trent franks,0,NA,
2017-11-14T00:00:00Z,al franken,5,NA,
2017-11-14T00:00:00Z,dustin hoffman,0,NA,
2017-11-14T00:00:00Z,gary goddard,0,NA,
2017-11-14T00:00:00Z,george takei,0,NA,
2017-11-14T00:00:00Z,harvey weinstein,10,NA,
2017-11-14T00:00:00Z,jeffrey tambor,0,NA,
2017-11-14T00:00:00Z,jeremy piven,0,NA,
2017-11-14T00:00:00Z,john conyers,1,NA,
2017-11-14T00:00:00Z,kevin spacey,2,NA,
2017-11-14T00:00:00Z,louis ck,0,NA,
2017-11-14T00:00:00Z,mark halperin,0,NA,
2017-11-14T00:00:00Z,matt lauer,1,NA,
2017-11-14T00:00:00Z,matthew weiner,0,NA,
2017-11-14T00:00:00Z,richard dreyfuss,0,NA,
2017-11-14T00:00:00Z,roy moore,50,NA,
2017-11-14T00:00:00Z,trent franks,0,NA,
2017-11-15T00:00:00Z,al franken,5,NA,
2017-11-15T00:00:00Z,dustin hoffman,0,NA,
2017-11-15T00:00:00Z,gary goddard,0,NA,
2017-11-15T00:00:00Z,george takei,0,NA,
2017-11-15T00:00:00Z,harvey weinstein,12,NA,
2017-11-15T00:00:00Z,jeffrey tambor,0,NA,
2017-11-15T00:00:00Z,jeremy piven,0,NA,
2017-11-15T00:00:00Z,john conyers,0,NA,
2017-11-15T00:00:00Z,kevin spacey,0,NA,
2017-11-15T00:00:00Z,louis ck,1,NA,
2017-11-15T00:00:00Z,mark halperin,0,NA,
2017-11-15T00:00:00Z,matt lauer,0,NA,
2017-11-15T00:00:00Z,matthew weiner,0,NA,
