date,station,name,count_show_mentions_person_station_date
2017-11-12T00:00:00Z,Fox News,richard dreyfuss,1
2017-11-12T00:00:00Z,Fox News,roy moore,11
2017-11-12T00:00:00Z,Fox News,trent franks,0
2017-11-12T00:00:00Z,MSNBC,al franken,0
2017-11-12T00:00:00Z,MSNBC,harvey weinstein,4
2017-11-12T00:00:00Z,MSNBC,jeremy piven,1
2017-11-12T00:00:00Z,MSNBC,kevin spacey,2
2017-11-12T00:00:00Z,MSNBC,louis ck,0
2017-11-12T00:00:00Z,MSNBC,mark halperin,0
2017-11-12T00:00:00Z,MSNBC,roy moore,15
2017-11-13T00:00:00Z,CNN,al franken,0
2017-11-13T00:00:00Z,CNN,george takei,0
2017-11-13T00:00:00Z,CNN,harvey weinstein,1
2017-11-13T00:00:00Z,CNN,john conyers,0
2017-11-13T00:00:00Z,CNN,kevin spacey,0
2017-11-13T00:00:00Z,CNN,louis ck,0
2017-11-13T00:00:00Z,CNN,mark halperin,0
2017-11-13T00:00:00Z,CNN,roy moore,14
2017-11-13T00:00:00Z,Fox News,al franken,0
2017-11-13T00:00:00Z,Fox News,dustin hoffman,0
2017-11-13T00:00:00Z,Fox News,gary goddard,0
2017-11-13T00:00:00Z,Fox News,george takei,0
2017-11-13T00:00:00Z,Fox News,harvey weinstein,3
2017-11-13T00:00:00Z,Fox News,jeffrey tambor,0
2017-11-13T00:00:00Z,Fox News,kevin spacey,1
2017-11-13T00:00:00Z,Fox News,louis ck,0
2017-11-13T00:00:00Z,Fox News,matt lauer,0
2017-11-13T00:00:00Z,Fox News,matthew weiner,0
2017-11-13T00:00:00Z,Fox News,richard dreyfuss,0
2017-11-13T00:00:00Z,Fox News,roy moore,12
2017-11-13T00:00:00Z,Fox News,trent franks,0
2017-11-13T00:00:00Z,MSNBC,al franken,0
2017-11-13T00:00:00Z,MSNBC,harvey weinstein,4
2017-11-13T00:00:00Z,MSNBC,jeremy piven,0
2017-11-13T00:00:00Z,MSNBC,kevin spacey,0
2017-11-13T00:00:00Z,MSNBC,louis ck,0
2017-11-13T00:00:00Z,MSNBC,mark halperin,0
2017-11-13T00:00:00Z,MSNBC,roy moore,16
2017-11-14T00:00:00Z,CNN,al franken,2
2017-11-14T00:00:00Z,CNN,george takei,0
2017-11-14T00:00:00Z,CNN,harvey weinstein,4
2017-11-14T00:00:00Z,CNN,john conyers,1
2017-11-14T00:00:00Z,CNN,kevin spacey,0
2017-11-14T00:00:00Z,CNN,louis ck,0
2017-11-14T00:00:00Z,CNN,mark halperin,0
2017-11-14T00:00:00Z,CNN,roy moore,16
2017-11-14T00:00:00Z,Fox News,al franken,2
2017-11-14T00:00:00Z,Fox News,dustin hoffman,0
2017-11-14T00:00:00Z,Fox News,gary goddard,0
2017-11-14T00:00:00Z,Fox News,george takei,0
2017-11-14T00:00:00Z,Fox News,harvey weinstein,0
2017-11-14T00:00:00Z,Fox News,jeffrey tambor,0
2017-11-14T00:00:00Z,Fox News,kevin spacey,0
2017-11-14T00:00:00Z,Fox News,louis ck,0
2017-11-14T00:00:00Z,Fox News,matt lauer,1
2017-11-14T00:00:00Z,Fox News,matthew weiner,0
2017-11-14T00:00:00Z,Fox News,richard dreyfuss,0
2017-11-14T00:00:00Z,Fox News,roy moore,16
2017-11-14T00:00:00Z,Fox News,trent franks,0
2017-11-14T00:00:00Z,MSNBC,al franken,1
2017-11-14T00:00:00Z,MSNBC,harvey weinstein,6
2017-11-14T00:00:00Z,MSNBC,jeremy piven,0
2017-11-14T00:00:00Z,MSNBC,kevin spacey,2
2017-11-14T00:00:00Z,MSNBC,louis ck,0
2017-11-14T00:00:00Z,MSNBC,mark halperin,0
2017-11-14T00:00:00Z,MSNBC,roy moore,18
2017-11-15T00:00:00Z,CNN,al franken,1
2017-11-15T00:00:00Z,CNN,george takei,0
2017-11-15T00:00:00Z,CNN,harvey weinstein,3
2017-11-15T00:00:00Z,CNN,john conyers,0
2017-11-15T00:00:00Z,CNN,kevin spacey,0
2017-11-15T00:00:00Z,CNN,louis ck,0
2017-11-15T00:00:00Z,CNN,mark halperin,0
2017-11-15T00:00:00Z,CNN,roy moore,24
2017-11-15T00:00:00Z,Fox News,al franken,2
2017-11-15T00:00:00Z,Fox News,dustin hoffman,0
2017-11-15T00:00:00Z,Fox News,gary goddard,0
2017-11-15T00:00:00Z,Fox News,george takei,0
2017-11-15T00:00:00Z,Fox News,harvey weinstein,4
2017-11-15T00:00:00Z,Fox News,jeffrey tambor,0
2017-11-15T00:00:00Z,Fox News,kevin spacey,0
2017-11-15T00:00:00Z,Fox News,louis ck,1
2017-11-15T00:00:00Z,Fox News,matt lauer,0
2017-11-15T00:00:00Z,Fox News,matthew weiner,0
2017-11-15T00:00:00Z,Fox News,richard dreyfuss,0
2017-11-15T00:00:00Z,Fox News,roy moore,19
2017-11-15T00:00:00Z,Fox News,trent franks,1
2017-11-15T00:00:00Z,MSNBC,al franken,2
2017-11-15T00:00:00Z,MSNBC,harvey weinstein,5
2017-11-15T00:00:00Z,MSNBC,jeremy piven,0
2017-11-15T00:00:00Z,MSNBC,kevin spacey,0
2017-11-15T00:00:00Z,MSNBC,louis ck,0
2017-11-15T00:00:00Z,MSNBC,mark halperin,0
2017-11-15T00:00:00Z,MSNBC,roy moore,21
2017-11-16T00:00:00Z,CNN,al franken,5
2017-11-16T00:00:00Z,CNN,george takei,0
2017-11-16T00:00:00Z,CNN,harvey weinstein,6
2017-11-16T00:00:00Z,CNN,john conyers,0
2017-11-16T00:00:00Z,CNN,kevin spacey,2
2017-11-16T00:00:00Z,CNN,louis ck,0
2017-11-16T00:00:00Z,CNN,mark halperin,1
2017-11-16T00:00:00Z,CNN,roy moore,16
2017-11-16T00:00:00Z,Fox News,al franken,7
2017-11-16T00:00:00Z,Fox News,dustin hoffman,1
2017-11-16T00:00:00Z,Fox News,gary goddard,0
2017-11-16T00:00:00Z,Fox News,george takei,1
2017-11-16T00:00:00Z,Fox News,harvey weinstein,5
2017-11-16T00:00:00Z,Fox News,jeffrey tambor,0
2017-11-16T00:00:00Z,Fox News,kevin spacey,2
2017-11-16T00:00:00Z,Fox News,louis ck,0
2017-11-16T00:00:00Z,Fox News,matt lauer,0
2017-11-16T00:00:00Z,Fox News,matthew weiner,0
2017-11-16T00:00:00Z,Fox News,richard dreyfuss,0
2017-11-16T00:00:00Z,Fox News,roy moore,18
2017-11-16T00:00:00Z,Fox News,trent franks,0
2017-11-16T00:00:00Z,MSNBC,al franken,7
2017-11-16T00:00:00Z,MSNBC,harvey weinstein,7
2017-11-16T00:00:00Z,MSNBC,jeremy piven,0
2017-11-16T00:00:00Z,MSNBC,kevin spacey,2
2017-11-16T00:00:00Z,MSNBC,louis ck,1
2017-11-16T00:00:00Z,MSNBC,mark halperin,0
2017-11-16T00:00:00Z,MSNBC,roy moore,23
2017-11-17T00:00:00Z,CNN,al franken,15
2017-11-17T00:00:00Z,CNN,george takei,0
2017-11-17T00:00:00Z,CNN,harvey weinstein,5
2017-11-17T00:00:00Z,CNN,john conyers,0
2017-11-17T00:00:00Z,CNN,kevin spacey,3
2017-11-17T00:00:00Z,CNN,louis ck,1
2017-11-17T00:00:00Z,CNN,mark halperin,1
2017-11-17T00:00:00Z,CNN,roy moore,15
2017-11-17T00:00:00Z,Fox News,al franken,19
2017-11-17T00:00:00Z,Fox News,dustin hoffman,0
2017-11-17T00:00:00Z,Fox News,gary goddard,0
2017-11-17T00:00:00Z,Fox News,george takei,0
2017-11-17T00:00:00Z,Fox News,harvey weinstein,5
2017-11-17T00:00:00Z,Fox News,jeffrey tambor,1
2017-11-17T00:00:00Z,Fox News,kevin spacey,1
2017-11-17T00:00:00Z,Fox News,louis ck,0
2017-11-17T00:00:00Z,Fox News,matt lauer,0
2017-11-17T00:00:00Z,Fox News,matthew weiner,0
2017-11-17T00:00:00Z,Fox News,richard dreyfuss,0
