date,name,count_show_mentions_person_date
2017-11-09T00:00:00Z,jeffrey tambor,0
2017-11-09T00:00:00Z,jeremy piven,0
2017-11-09T00:00:00Z,kevin spacey,14
2017-11-09T00:00:00Z,louis ck,2
2017-11-09T00:00:00Z,mark halperin,0
2017-11-09T00:00:00Z,richard dreyfuss,0
2017-11-09T00:00:00Z,roy moore,13
2017-11-09T00:00:00Z,trent franks,0
2017-11-10T00:00:00Z,al franken,0
2017-11-10T00:00:00Z,brett ratner,0
2017-11-10T00:00:00Z,charlie rose,1
2017-11-10T00:00:00Z,dustin hoffman,2
2017-11-10T00:00:00Z,gary goddard,0
2017-11-10T00:00:00Z,glenn thrush,1
2017-11-10T00:00:00Z,harvey weinstein,22
2017-11-10T00:00:00Z,jeffrey tambor,2
2017-11-10T00:00:00Z,jeremy piven,0
2017-11-10T00:00:00Z,kevin spacey,13
2017-11-10T00:00:00Z,louis ck,9
2017-11-10T00:00:00Z,mark halperin,3
2017-11-10T00:00:00Z,richard dreyfuss,0
2017-11-10T00:00:00Z,roy moore,60
2017-11-10T00:00:00Z,trent franks,0
2017-11-11T00:00:00Z,al franken,0
2017-11-11T00:00:00Z,brett ratner,1
2017-11-11T00:00:00Z,charlie rose,0
2017-11-11T00:00:00Z,dustin hoffman,3
2017-11-11T00:00:00Z,gary goddard,1
2017-11-11T00:00:00Z,glenn thrush,0
2017-11-11T00:00:00Z,harvey weinstein,24
2017-11-11T00:00:00Z,jeffrey tambor,0
2017-11-11T00:00:00Z,jeremy piven,3
2017-11-11T00:00:00Z,kevin spacey,10
2017-11-11T00:00:00Z,louis ck,8
2017-11-11T00:00:00Z,mark halperin,3
2017-11-11T00:00:00Z,richard dreyfuss,0
2017-11-11T00:00:00Z,roy moore,53
2017-11-11T00:00:00Z,trent franks,0
2017-11-12T00:00:00Z,al franken,0
2017-11-12T00:00:00Z,dustin hoffman,0
2017-11-12T00:00:00Z,gary goddard,1
2017-11-12T00:00:00Z,george takei,2
2017-11-12T00:00:00Z,harvey weinstein,8
2017-11-12T00:00:00Z,jeffrey tambor,0
2017-11-12T00:00:00Z,jeremy piven,1
2017-11-12T00:00:00Z,john conyers,0
2017-11-12T00:00:00Z,kevin spacey,5
2017-11-12T00:00:00Z,louis ck,1
2017-11-12T00:00:00Z,mark halperin,0
2017-11-12T00:00:00Z,matt lauer,0
2017-11-12T00:00:00Z,matthew weiner,0
2017-11-12T00:00:00Z,richard dreyfuss,1
2017-11-12T00:00:00Z,roy moore,36
2017-11-12T00:00:00Z,trent franks,0
2017-11-13T00:00:00Z,al franken,0
2017-11-13T00:00:00Z,dustin hoffman,0
2017-11-13T00:00:00Z,gary goddard,0
2017-11-13T00:00:00Z,george takei,0
2017-11-13T00:00:00Z,harvey weinstein,8
